#timestamp x y z qx qy qz qw id
1768380410.774352 -0.000360 0.014909 0.000016 -0.495271 0.506106 -0.494616 0.503903 1
1768380411.641635 0.000647 0.014526 -0.000495 -0.495249 0.506105 -0.494577 0.503964 2
1768380412.442216 0.000506 0.013656 0.000687 -0.495211 0.506164 -0.494451 0.504066 3
1768380412.508932 0.001114 0.014500 -0.000656 -0.495155 0.506159 -0.494539 0.504039 4
1768380412.575647 0.000481 0.014377 -0.000405 -0.495245 0.506085 -0.494601 0.503964 5
1768380412.642362 -0.001670 0.015745 0.000026 -0.495283 0.506050 -0.494774 0.503792 6
1768380412.709078 0.000542 0.015564 0.000182 -0.495340 0.506095 -0.494728 0.503737 7
1768380412.775792 0.002514 0.014129 0.000148 -0.495269 0.506105 -0.494573 0.503948 8
1768380412.842506 0.002018 0.014270 -0.000724 -0.495229 0.506118 -0.494581 0.503967 9
1768380412.909220 0.000883 0.013991 0.000196 -0.495230 0.506149 -0.494457 0.504056 10
1768380412.975934 -0.000757 0.014424 0.000202 -0.495248 0.506106 -0.494589 0.503952 11
1768380413.042649 0.001960 0.014502 -0.000433 -0.495231 0.506109 -0.494614 0.503941 12
1768380413.109363 0.000578 0.014261 -0.000305 -0.495290 0.506075 -0.494625 0.503907 13
1768380413.176077 0.002086 0.014575 -0.001377 -0.495243 0.506063 -0.494623 0.503967 14
1768380413.242791 0.000841 0.014026 -0.000758 -0.495186 0.506144 -0.494505 0.504057 15
1768380413.309505 0.000690 0.014731 -0.000331 -0.495206 0.506125 -0.494566 0.503997 16
1768380413.376220 0.000145 0.015547 -0.000005 -0.495313 0.506022 -0.494748 0.503818 17
1768380413.442934 0.000965 0.014872 -0.000621 -0.495247 0.506093 -0.494632 0.503924 18
1768380413.509648 0.000600 0.015674 -0.000238 -0.495240 0.506115 -0.494644 0.503897 19
1768380413.576363 0.001389 0.013548 -0.000468 -0.495192 0.506153 -0.494420 0.504126 20
1768380413.643076 0.000887 0.014684 -0.000591 -0.495265 0.506078 -0.494605 0.503948 21
1768380413.709791 0.001503 0.014174 -0.000790 -0.495199 0.506144 -0.494540 0.504010 22
1768380413.776504 0.000997 0.014504 -0.000095 -0.495249 0.506098 -0.494608 0.503942 23
1768380413.843217 0.001058 0.014162 -0.000401 -0.495180 0.506200 -0.494486 0.504026 24
1768380413.909930 0.002684 0.013987 -0.000316 -0.495226 0.506106 -0.494539 0.504024 25
1768380413.976643 0.000797 0.014422 -0.000609 -0.495226 0.506085 -0.494586 0.503998 26
1768380414.043356 0.000394 0.014876 -0.000336 -0.495229 0.506119 -0.494580 0.503967 27
1768380414.110069 0.000011 0.014101 0.000138 -0.495253 0.506131 -0.494538 0.503973 28
1768380414.176781 -0.000096 0.014962 0.000117 -0.495237 0.506155 -0.494576 0.503927 29
1768380414.243495 0.001542 0.014516 -0.000765 -0.495225 0.506099 -0.494596 0.503974 30
