#timestamp x y z qx qy qz qw id
1768380798.650818 -0.000360 0.014909 0.000016 -0.495271 0.506106 -0.494616 0.503903 1
1768380798.784098 0.001684 0.013615 0.001293 -0.495309 0.506148 -0.494518 0.503919 2
1768380798.917373 0.000574 0.014715 0.000845 -0.495315 0.506111 -0.494604 0.503866 3
1768380798.984009 -0.000207 0.013431 0.004577 -0.495251 0.506338 -0.494211 0.504087 4
1768380799.050643 -0.000908 0.013921 0.001968 -0.495308 0.506168 -0.494474 0.503943 5
1768380799.117276 0.000732 0.014787 0.001598 -0.495281 0.506168 -0.494551 0.503896 6
1768380799.183908 -0.001079 0.015668 0.000598 -0.495262 0.506149 -0.494623 0.503862 7
1768380799.250538 0.000806 0.014755 0.000874 -0.495312 0.506119 -0.494590 0.503875 8
1768380799.317168 0.000216 0.014715 0.001217 -0.495298 0.506134 -0.494560 0.503903 9
1768380799.383795 -0.001030 0.015709 -0.000113 -0.495239 0.506124 -0.494642 0.503891 10
1768380799.450422 0.000863 0.015302 0.000379 -0.495289 0.506123 -0.494600 0.503884 11
1768380799.517047 -0.000838 0.015462 0.000910 -0.495289 0.506131 -0.494600 0.503877 12
1768380799.583672 0.000077 0.015133 0.000906 -0.495339 0.506101 -0.494648 0.503810 13
1768380799.650316 -0.000509 0.015206 0.000457 -0.495320 0.506119 -0.494623 0.503836 14
1768380799.716958 0.000746 0.014967 0.000338 -0.495258 0.506127 -0.494612 0.503899 15
1768380799.783598 0.000127 0.013589 0.003621 -0.495288 0.506285 -0.494312 0.504005 16
1768380799.850238 -0.000475 0.015809 0.000224 -0.495274 0.506109 -0.494681 0.503834 17
1768380799.916876 0.000813 0.014727 0.000724 -0.495270 0.506146 -0.494544 0.503934 18
1768380799.983513 0.000937 0.014446 0.001113 -0.495255 0.506153 -0.494560 0.503927 19
1768380800.050149 0.001400 0.014281 0.000210 -0.495332 0.506081 -0.494672 0.503814 20
1768380800.116783 0.000848 0.015278 0.001394 -0.495312 0.506145 -0.494619 0.503821 21
1768380800.183416 0.000969 0.015012 0.000754 -0.495330 0.506090 -0.494636 0.503841 22
1768380800.250048 0.000594 0.015458 0.000079 -0.495266 0.506099 -0.494643 0.503888 23
1768380800.316679 -0.001993 0.015824 0.000192 -0.495311 0.506121 -0.494625 0.503840 24
1768380800.383308 0.001548 0.013464 0.001646 -0.495336 0.506105 -0.494524 0.503930 25
1768380800.449936 -0.001083 0.015721 0.000495 -0.495289 0.506101 -0.494650 0.503857 26
1768380800.516563 -0.001005 0.016163 -0.000381 -0.495251 0.506082 -0.494714 0.503851 27
1768380800.583189 0.000161 0.015596 0.000133 -0.495321 0.506087 -0.494697 0.503794 28
1768380800.649832 -0.000871 0.015701 0.000654 -0.495299 0.506137 -0.494596 0.503864 29
1768380800.716474 0.000510 0.014400 0.003636 -0.495234 0.506319 -0.494353 0.503983 30
1768380800.783114 -0.000558 0.016420 -0.001115 -0.495306 0.506032 -0.494820 0.503742 31
1768380800.849754 0.001793 0.013764 0.000367 -0.495325 0.506114 -0.494572 0.503885 32
1768380800.916392 -0.002981 0.014805 -0.000414 -0.495299 0.506124 -0.494644 0.503830 33
1768380800.983029 -0.002046 0.014535 -0.002516 -0.495247 0.506094 -0.494750 0.503807 34
1768380801.049664 -0.004007 0.014390 -0.004383 -0.495194 0.506053 -0.494917 0.503736 35
1768380801.116298 -0.007010 0.012914 -0.002737 -0.495181 0.506195 -0.494797 0.503725 36
1768380801.182931 -0.007542 0.012693 -0.003472 -0.495046 0.506263 -0.494889 0.503699 37
1768380801.249563 -0.012158 0.014657 -0.004953 -0.494964 0.506326 -0.495054 0.503554 38
1768380801.316193 -0.015270 0.014018 -0.004311 -0.494879 0.506492 -0.494935 0.503587 39
1768380801.382822 -0.014297 0.011578 -0.006286 -0.494815 0.506436 -0.495069 0.503574 40
1768380801.449450 -0.017065 0.011313 -0.005526 -0.494790 0.506581 -0.495001 0.503520 41
1768380801.516076 -0.020022 0.011562 -0.006302 -0.494689 0.506636 -0.495082 0.503484 42
1768380801.582702 -0.023128 0.010883 -0.006249 -0.494669 0.506731 -0.495007 0.503482 43
1768380801.649344 -0.023547 0.010786 -0.008026 -0.494620 0.506711 -0.495131 0.503429 44
1768380801.715985 -0.023611 0.008354 -0.005608 -0.494644 0.506801 -0.495049 0.503394 45
1768380801.782625 -0.027103 0.008768 -0.007290 -0.494565 0.506783 -0.495117 0.503424 46
1768380801.849264 -0.029679 0.008203 -0.009243 -0.494496 0.506801 -0.495202 0.503389 47
1768380801.915901 -0.028808 0.008489 -0.007839 -0.494422 0.506950 -0.495193 0.503322 48
1768380801.982537 -0.031583 0.009857 -0.009946 -0.494385 0.506899 -0.495353 0.503252 49
1768380802.049171 -0.030381 0.007732 -0.010848 -0.494357 0.506912 -0.495438 0.503182 50
1768380802.115804 -0.034374 0.006853 -0.011755 -0.494300 0.506902 -0.495418 0.503268 51
1768380802.182436 -0.034798 0.005841 -0.012449 -0.494203 0.506966 -0.495397 0.503320 52
1768380802.249067 -0.035899 0.005038 -0.011721 -0.494181 0.507024 -0.495354 0.503325 53
1768380802.315696 -0.037800 0.006011 -0.011387 -0.494199 0.507073 -0.495444 0.503170 54
1768380802.382324 -0.037684 0.004608 -0.012530 -0.494069 0.507115 -0.495375 0.503323 55
1768380802.448951 -0.040161 0.006454 -0.011696 -0.494091 0.507193 -0.495397 0.503201 56
1768380802.515577 -0.037655 0.004556 -0.014786 -0.494120 0.506988 -0.495574 0.503205 57
