#timestamp x y z qx qy qz qw id
1768380812.459555 6.680037 4.759117 2.046699 -0.689245 0.234177 -0.336461 0.597408 192
1768380812.526264 6.740950 4.846489 2.063215 -0.690683 0.231173 -0.334321 0.598119 193
1768380812.592973 6.812635 4.935153 2.087429 -0.692659 0.227953 -0.331889 0.598424 194
1768380812.659686 6.872715 5.029069 2.100760 -0.694206 0.224702 -0.330767 0.598481 195
1768380812.726400 6.936082 5.129562 2.123287 -0.695739 0.221719 -0.329115 0.598724 196
1768380812.793114 7.003737 5.227905 2.144812 -0.697314 0.218305 -0.327249 0.599169 197
1768380812.859828 7.074544 5.327588 2.166213 -0.698734 0.215728 -0.324936 0.599707 198
1768380812.926542 7.147159 5.428802 2.186942 -0.700242 0.213051 -0.322382 0.600284 199
1768380812.993255 7.216796 5.527170 2.205960 -0.701718 0.210366 -0.319892 0.600839 200
1768380813.059969 7.279383 5.623993 2.220145 -0.702892 0.207826 -0.317786 0.601467 201
1768380813.126683 7.357197 5.735651 2.246778 -0.704416 0.205406 -0.315053 0.601954 202
1768380813.193397 7.431680 5.844874 2.269055 -0.705501 0.202537 -0.313273 0.602584 203
1768380813.260111 7.502640 5.957240 2.291681 -0.706894 0.200267 -0.310848 0.602966 204
1768380813.326824 7.573658 6.067721 2.310587 -0.708376 0.197294 -0.308854 0.603231 205
1768380813.393538 7.654911 6.188245 2.335662 -0.709773 0.195018 -0.306283 0.603640 206
1768380813.460252 7.724388 6.295486 2.355110 -0.711109 0.192066 -0.304202 0.604066 207
1768380813.526966 7.798011 6.418843 2.377636 -0.712652 0.188905 -0.302464 0.604118 208
1768380813.593679 7.870502 6.542048 2.399308 -0.714040 0.185905 -0.300683 0.604298 209
1768380813.660395 7.944120 6.665748 2.422257 -0.715488 0.183249 -0.298497 0.604480 210
1768380813.727110 8.012226 6.787627 2.440906 -0.716937 0.180079 -0.296825 0.604539 211
1768380813.793826 8.085714 6.908792 2.466228 -0.718577 0.177187 -0.294522 0.604573 212
1768380813.860542 8.160688 7.034435 2.490848 -0.719770 0.174734 -0.292066 0.605059 213
1768380813.927257 8.231008 7.160774 2.511931 -0.720930 0.172100 -0.290025 0.605414 214
1768380813.993973 8.301467 7.287379 2.531046 -0.722232 0.169414 -0.288166 0.605508 215
1768380814.060689 8.377369 7.416723 2.555928 -0.723578 0.166764 -0.285980 0.605674 216
1768380814.127404 8.443377 7.546250 2.576876 -0.724650 0.164329 -0.284254 0.605870 217
1768380814.194120 8.516727 7.680356 2.599107 -0.725877 0.161397 -0.282637 0.605946 218
1768380814.260836 8.589778 7.819646 2.623007 -0.727146 0.158614 -0.281290 0.605785 219
1768380814.327552 8.661536 7.959992 2.643609 -0.727991 0.155642 -0.280279 0.606010 220
1768380814.394268 8.726700 8.094897 2.664050 -0.728879 0.152928 -0.279092 0.606181 221
1768380814.460984 8.796352 8.231340 2.681890 -0.730242 0.150289 -0.277010 0.606156 222
1768380814.527699 8.879178 8.376348 2.707315 -0.731632 0.147696 -0.274783 0.606131 223
1768380814.594415 8.954082 8.519467 2.728058 -0.732458 0.145807 -0.273085 0.606358 224
1768380814.661127 9.032714 8.664904 2.754541 -0.733784 0.143584 -0.271553 0.605973 225
1768380814.727839 9.110726 8.815638 2.780392 -0.734379 0.141721 -0.270066 0.606356 226
1768380814.794550 9.181234 8.959428 2.799756 -0.734657 0.139997 -0.268550 0.607092 227
1768380814.861262 9.258689 9.111640 2.822264 -0.735754 0.137853 -0.266500 0.607157 228
1768380814.927973 9.332653 9.262721 2.847397 -0.736442 0.135320 -0.265321 0.607409 229
1768380814.994684 9.394448 9.403823 2.862164 -0.736933 0.133030 -0.264805 0.607546 230
1768380815.061396 9.468319 9.564340 2.888247 -0.738144 0.130555 -0.263254 0.607286 231
1768380815.128107 9.543921 9.723635 2.913841 -0.738768 0.128263 -0.261519 0.607765 232
1768380815.194819 9.614291 9.875023 2.936910 -0.739146 0.126281 -0.259891 0.608419 233
1768380815.261530 9.685979 10.023779 2.957013 -0.739903 0.124506 -0.257573 0.608850 234
1768380815.328241 9.757915 10.187724 2.981564 -0.740932 0.122244 -0.256275 0.608605 235
1768380815.394953 9.828734 10.356035 3.002504 -0.741465 0.120014 -0.255167 0.608864 236
1768380815.461664 9.906270 10.524451 3.029196 -0.742474 0.117752 -0.253424 0.608804 237
1768380815.528375 9.977380 10.693457 3.049536 -0.742774 0.115550 -0.252389 0.609291 238
1768380815.595086 10.043677 10.850467 3.073298 -0.743738 0.113475 -0.250449 0.609305 239
1768380815.662559 10.114486 11.020555 3.091573 -0.744814 0.111229 -0.248347 0.609266 240
1768380815.730042 10.190964 11.195607 3.116219 -0.745073 0.108995 -0.246666 0.610035 241
1768380815.797536 10.263072 11.375189 3.129997 -0.745464 0.106805 -0.245663 0.610349 242
1768380815.865038 10.327812 11.545356 3.157178 -0.746493 0.104371 -0.244567 0.609952 243
1768380815.932551 10.397189 11.720503 3.180130 -0.747298 0.102237 -0.242930 0.609982 244
1768380816.000073 10.474595 11.905683 3.208919 -0.748013 0.099959 -0.241277 0.610139 245
1768380816.067605 10.551619 12.088829 3.225326 -0.748240 0.098052 -0.240376 0.610526 246
1768380816.135148 10.619077 12.273952 3.249007 -0.749057 0.096781 -0.239280 0.610158 247
1768380816.202699 10.691763 12.456161 3.266054 -0.749867 0.094471 -0.237820 0.610096 248
1768380816.270261 10.774262 12.650373 3.296802 -0.751081 0.092617 -0.235601 0.609748 249
1768380816.337832 10.848967 12.838763 3.315563 -0.751397 0.091728 -0.234343 0.609977 250
1768380816.405413 10.919372 13.022275 3.340807 -0.752160 0.090148 -0.232844 0.609847 251
1768380816.473004 10.989298 13.206200 3.363919 -0.752772 0.088681 -0.231089 0.609973 252
1768380816.540605 11.064975 13.398014 3.385306 -0.753043 0.086887 -0.230069 0.610282 253
1768380816.608206 11.131641 13.588983 3.409214 -0.753668 0.085583 -0.229308 0.609982 254
1768380816.674844 11.203244 13.777263 3.432190 -0.754236 0.084132 -0.227398 0.610197 255
1768380816.741481 11.278839 13.958573 3.459175 -0.754974 0.082653 -0.225346 0.610247 256
1768380816.808116 11.355067 14.149779 3.483790 -0.755241 0.081845 -0.223374 0.610751 257
1768380816.874750 11.425695 14.339743 3.503938 -0.755501 0.080531 -0.222663 0.610863 258
1768380816.941383 11.494298 14.527932 3.523194 -0.755997 0.079353 -0.222036 0.610632 259
1768380817.008014 11.562813 14.716992 3.558022 -0.756880 0.077437 -0.221723 0.609897 260
1768380817.074644 11.627565 14.908667 3.573834 -0.756419 0.076017 -0.222323 0.610430 261
1768380817.141273 11.700930 15.096584 3.596320 -0.756872 0.075371 -0.220795 0.610503 262
1768380817.207900 11.774349 15.289862 3.619991 -0.757046 0.074310 -0.220309 0.610593 263
1768380817.274526 11.840034 15.472876 3.635136 -0.756866 0.074043 -0.219243 0.611231 264
1768380817.341151 11.911523 15.660893 3.655941 -0.757022 0.072780 -0.218890 0.611317 265
1768380817.407774 11.983729 15.849987 3.677962 -0.757358 0.071891 -0.218846 0.611022 266
1768380817.474396 12.050466 16.035627 3.708875 -0.757388 0.071433 -0.218348 0.611216 267
1768380817.541017 12.115943 16.216398 3.725156 -0.757030 0.070745 -0.218119 0.611821 268
1768380817.607638 12.188386 16.402931 3.753585 -0.757484 0.069873 -0.217577 0.611552 269
1768380817.674275 12.260589 16.596807 3.775301 -0.757286 0.070182 -0.216982 0.611973 270
1768380817.740911 12.324782 16.776110 3.801670 -0.757143 0.069848 -0.216212 0.612461 271
1768380817.807546 12.392250 16.954487 3.829215 -0.757118 0.068956 -0.215346 0.612898 272
1768380817.874179 12.459384 17.141764 3.847548 -0.756754 0.068234 -0.215732 0.613292 273
1768380817.940812 12.524532 17.329721 3.868695 -0.756869 0.067507 -0.216225 0.613057 274
1768380818.007442 12.589537 17.514446 3.890600 -0.756935 0.066603 -0.216279 0.613055 275
1768380818.074071 12.648829 17.695166 3.910063 -0.757158 0.065944 -0.216500 0.612773 276
1768380818.140699 12.718962 17.881407 3.935573 -0.757132 0.065378 -0.215977 0.613050 277
1768380818.207326 12.783863 18.064177 3.955104 -0.756811 0.065666 -0.215473 0.613593 278
1768380818.273951 12.849284 18.246380 3.979372 -0.757115 0.065566 -0.214292 0.613642 279
1768380818.340575 12.914309 18.422941 4.005113 -0.757251 0.064520 -0.213650 0.613810 280
1768380818.407197 12.982009 18.607819 4.022380 -0.756731 0.063588 -0.214586 0.614221 281
1768380818.473819 13.037082 18.794592 4.039754 -0.756701 0.063217 -0.215862 0.613849 282
1768380818.540438 13.100239 18.978258 4.065538 -0.757089 0.062331 -0.215700 0.613518 283
1768380818.607059 13.159363 19.145752 4.093912 -0.756966 0.061730 -0.215640 0.613751 284
1768380818.673697 13.221778 19.326870 4.104914 -0.756682 0.061909 -0.215390 0.614171 285
1768380818.740334 13.297268 19.515068 4.131263 -0.757289 0.062220 -0.213787 0.613953 286
1768380818.806969 13.359278 19.686195 4.153286 -0.757460 0.062932 -0.212563 0.614094 287
1768380818.873603 13.431073 19.868027 4.176465 -0.758055 0.063145 -0.211126 0.613833 288
1768380818.940236 13.498749 20.045124 4.202037 -0.758365 0.062904 -0.210924 0.613545 289
1768380819.006867 13.562246 20.230234 4.222563 -0.758205 0.062724 -0.211548 0.613546 290
1768380819.073497 13.621893 20.415485 4.243225 -0.758440 0.062606 -0.211603 0.613248 291
1768380819.140126 13.689060 20.599483 4.265489 -0.758652 0.062015 -0.211355 0.613132 292
1768380819.206753 13.748235 20.784060 4.283477 -0.758663 0.062471 -0.211000 0.613195 293
1768380819.273379 13.820734 20.955170 4.306411 -0.759199 0.062672 -0.209283 0.613099 294
1768380819.340004 13.887676 21.140985 4.327236 -0.759075 0.062613 -0.208741 0.613443 295
1768380819.406627 13.954874 21.323290 4.350518 -0.759448 0.062669 -0.208187 0.613164 296
1768380819.473249 14.019895 21.505035 4.370204 -0.759657 0.062811 -0.207981 0.612960 297
1768380819.539869 14.078230 21.681894 4.391150 -0.760010 0.062401 -0.208010 0.612554 298
1768380819.606490 14.135813 21.859390 4.417078 -0.760523 0.062117 -0.207793 0.612020 299
1768380819.673127 14.199644 22.047485 4.440069 -0.760424 0.061797 -0.207572 0.612251 300
1768380819.739763 14.267578 22.231897 4.456451 -0.760058 0.061580 -0.207006 0.612917 301
1768380819.806397 14.330160 22.416399 4.477782 -0.760297 0.061914 -0.206114 0.612888 302
1768380819.873030 14.400135 22.598791 4.502274 -0.760388 0.062243 -0.204552 0.613265 303
1768380819.939661 14.467469 22.773914 4.528595 -0.760464 0.063163 -0.202631 0.613715 304
1768380820.006291 14.538033 22.961992 4.548926 -0.760447 0.063785 -0.201328 0.614100 305
1768380820.072920 14.604075 23.142523 4.570397 -0.760617 0.063735 -0.200594 0.614135 306
1768380820.139548 14.666112 23.324770 4.593882 -0.760906 0.063576 -0.200261 0.613902 307
1768380820.206174 14.726695 23.507889 4.615969 -0.761008 0.062933 -0.200239 0.613848 308
1768380820.272798 14.791495 23.689598 4.630952 -0.760535 0.062887 -0.199791 0.614585 309
1768380820.339422 14.853727 23.878374 4.659510 -0.760937 0.063570 -0.199185 0.614214 310
1768380820.406044 14.924296 24.067259 4.675666 -0.760633 0.062780 -0.199214 0.614663 311
1768380820.472664 14.986619 24.249279 4.703547 -0.760948 0.062984 -0.198613 0.614446 312
1768380820.539284 15.054235 24.430510 4.723260 -0.760382 0.063537 -0.198030 0.615278 313
1768380820.605903 15.117495 24.624456 4.730025 -0.759927 0.063951 -0.198138 0.615762 314
1768380820.672650 15.185463 24.812368 4.764499 -0.760530 0.063734 -0.197490 0.615248 315
1768380820.740052 15.252381 24.999611 4.777796 -0.760192 0.063335 -0.198607 0.615347 316
1768380820.807464 15.316440 25.185747 4.796330 -0.760218 0.063543 -0.199034 0.615156 317
1768380820.874884 15.379834 25.369099 4.823297 -0.760450 0.063423 -0.199243 0.614814 318
1768380820.942312 15.436387 25.550375 4.845262 -0.760272 0.063585 -0.199841 0.614823 319
1768380821.009749 15.509958 25.731386 4.865035 -0.759681 0.063774 -0.199064 0.615786 320
1768380821.077194 15.582184 25.912136 4.887055 -0.759579 0.065374 -0.197630 0.616205 321
1768380821.144648 15.648300 26.085979 4.919186 -0.759762 0.067036 -0.196193 0.616260 322
1768380821.212110 15.725184 26.273998 4.944817 -0.759491 0.067047 -0.195916 0.616681 323
1768380821.279581 15.790715 26.459839 4.960569 -0.758851 0.067373 -0.197347 0.616977 324
1768380821.347060 15.854212 26.641415 4.987934 -0.758745 0.067835 -0.197656 0.616957 325
1768380821.414548 15.921554 26.820351 5.003291 -0.758256 0.067239 -0.198849 0.617240 326
1768380821.482044 15.973476 26.985836 5.026163 -0.758619 0.067099 -0.200206 0.616370 327
1768380821.549549 16.042479 27.166067 5.047780 -0.758304 0.067627 -0.200071 0.616744 328
1768380821.617062 16.112989 27.346083 5.070425 -0.758065 0.068081 -0.199384 0.617210 329
1768380821.684575 16.183159 27.527018 5.095595 -0.758122 0.068365 -0.199196 0.617170 330
1768380821.751138 16.247053 27.702438 5.120923 -0.758138 0.069091 -0.199571 0.616947 331
1768380821.817698 16.302099 27.861656 5.146892 -0.757719 0.068801 -0.200285 0.617264 332
1768380821.884256 16.363667 28.037710 5.155538 -0.756429 0.068163 -0.202385 0.618231 333
1768380821.950811 16.426298 28.219147 5.185070 -0.756914 0.068754 -0.203063 0.617349 334
1768380822.017363 16.491978 28.396637 5.206357 -0.756467 0.069465 -0.203129 0.617795 335
1768380822.083913 16.548307 28.549557 5.231297 -0.756750 0.070137 -0.202025 0.617734 336
1768380822.150460 16.624949 28.719315 5.244466 -0.756602 0.071231 -0.200027 0.618441 337
1768380822.217004 16.698908 28.904661 5.267022 -0.757127 0.073068 -0.199015 0.617910 338
1768380822.283546 16.773550 29.087673 5.301534 -0.757583 0.073857 -0.198153 0.617534 339
1768380822.350085 16.844501 29.265635 5.330277 -0.756882 0.074039 -0.198222 0.618349 340
1768380822.416622 16.897226 29.430193 5.342142 -0.756356 0.073638 -0.199966 0.618480 341
1768380822.483155 16.967178 29.604666 5.369493 -0.756850 0.073527 -0.200268 0.617790 342
1768380822.549686 17.033466 29.792465 5.389829 -0.756824 0.073548 -0.201295 0.617485 343
1768380822.616215 17.102303 29.973133 5.411285 -0.756771 0.073159 -0.201476 0.617538 344
1768380822.682744 17.174782 30.158401 5.428604 -0.757017 0.073635 -0.201792 0.617076 345
1768380822.749309 17.241026 30.336105 5.451250 -0.757320 0.074225 -0.201839 0.616618 346
1768380822.815871 17.300531 30.508579 5.469368 -0.757482 0.074245 -0.202446 0.616218 347
1768380822.882431 17.370560 30.696592 5.492920 -0.757843 0.073996 -0.203626 0.615415 348
1768380822.948987 17.433661 30.882494 5.514451 -0.757922 0.073854 -0.204969 0.614889 349
1768380823.015542 17.496288 31.062664 5.533643 -0.758083 0.073760 -0.205265 0.614602 350
1768380823.082094 17.567339 31.242855 5.558758 -0.758685 0.073859 -0.204044 0.614254 351
1768380823.148643 17.639711 31.407576 5.586298 -0.758743 0.074174 -0.202389 0.614692 352
1768380823.215189 17.713768 31.590551 5.610485 -0.758350 0.075721 -0.200876 0.615484 353
1768380823.281733 17.784969 31.775476 5.626865 -0.758171 0.075916 -0.200650 0.615754 354
1768380823.348274 17.851318 31.944742 5.643290 -0.758464 0.075595 -0.200880 0.615358 355
1768380823.414813 17.909657 32.122696 5.670510 -0.759268 0.075387 -0.201534 0.614177 356
1768380823.481349 17.975666 32.312408 5.691847 -0.759261 0.074762 -0.203126 0.613737 357
1768380823.547882 18.032637 32.491646 5.707005 -0.759169 0.074651 -0.203751 0.613657 358
1768380823.614413 18.104177 32.672108 5.738169 -0.759936 0.074711 -0.202152 0.613229 359
1768380823.680944 18.174564 32.857059 5.751789 -0.759441 0.074268 -0.202089 0.613916 360
1768380823.747511 18.242443 33.042732 5.778339 -0.759653 0.074603 -0.201145 0.613924 361
1768380823.814075 18.312315 33.225952 5.802172 -0.759575 0.073997 -0.200610 0.614268 362
1768380823.880637 18.379990 33.409321 5.823887 -0.759302 0.073273 -0.201171 0.614510 363
1768380823.947196 18.441021 33.591427 5.840399 -0.759159 0.073107 -0.201932 0.614456 364
1768380824.013752 18.497017 33.767071 5.865582 -0.759529 0.071654 -0.202589 0.613953 365
1768380824.080306 18.558416 33.951042 5.877482 -0.758907 0.070259 -0.203687 0.614520 366
1768380824.146857 18.621775 34.137257 5.901153 -0.759477 0.069865 -0.203526 0.613914 367
1768380824.213406 18.690758 34.321922 5.929955 -0.759604 0.069289 -0.202798 0.614064 368
1768380824.279952 18.754019 34.492172 5.948553 -0.759023 0.069138 -0.202787 0.614802 369
1768380824.346495 18.821520 34.676224 5.968512 -0.759473 0.069703 -0.201692 0.614543 370
1768380824.413036 18.891205 34.864254 5.994936 -0.759988 0.069583 -0.201211 0.614077 371
1768380824.479574 18.959177 35.049568 6.009789 -0.759798 0.069461 -0.201559 0.614211 372
1768380824.546110 19.016609 35.239979 6.032350 -0.759915 0.068858 -0.201664 0.614100 373
1768380824.612643 19.081030 35.422302 6.050607 -0.759406 0.066972 -0.202391 0.614699 374
1768380824.679176 19.145321 35.609798 6.075120 -0.759737 0.067563 -0.201781 0.614425 375
1768380824.745745 19.213654 35.791641 6.097938 -0.759869 0.067362 -0.201023 0.614533 376
1768380824.812310 19.276817 35.971733 6.116604 -0.759869 0.067923 -0.200032 0.614795 377
1768380824.878873 19.345663 36.160343 6.141603 -0.760417 0.068478 -0.198987 0.614395 378
1768380824.945434 19.409021 36.344223 6.161335 -0.760760 0.068053 -0.199344 0.613901 379
1768380825.011992 19.478140 36.532169 6.184974 -0.761045 0.067552 -0.199198 0.613650 380
1768380825.078547 19.536465 36.711720 6.202847 -0.760755 0.067339 -0.200025 0.613765 381
1768380825.145100 19.593502 36.899426 6.222774 -0.761336 0.066986 -0.200600 0.612895 382
1768380825.211650 19.659584 37.088997 6.246213 -0.761948 0.065815 -0.200468 0.612304 383
1768380825.278198 19.722057 37.276569 6.268835 -0.761743 0.065441 -0.200741 0.612509 384
1768380825.344743 19.788197 37.473915 6.291434 -0.761475 0.065644 -0.200102 0.613030 385
1768380825.411286 19.854210 37.656815 6.314830 -0.761280 0.064980 -0.198912 0.613730 386
